TRN,Date of birth,Induction end date,Number of terms,Outcome,Error message
3002564L,1991-07-05,20/02/2025,17.23,Pass,"Wrong date format, TRN contains a letter, terms over 16 and not to 1.dp"
300258,1977-02-03,2025-01-15,,Released,"TRN not 7 digits and outcome not 'pass', 'fail' or 'release', blank cell"
3002585,1980-10-10,2024-12-11,4.4,Fail,TRS reports 'Not found'
3002584,1955-11-24,2025-03-18,5,Release,Claimed by another AB (Umber)
3002583,1977-09-24,2025-04-03,6,Pass,Outcome already recorded
3002582,1980-05-11,2025-03-06,10,Pass,✅
3002580,1955-03-04,2025-04-12,4,Release,✅
3002579,2001-02-01,2025-11-29,1.5,Release,TRS reports 'Not found'
3002578,1977-09-10,2025-03-30,3,Pass,✅
3002577,2000-12-02,2025-01-21,1,Pass,Induction end date before start date
3002576,2025-06-04,2025-03-28,1,Release,Date of birth in future (therefore TRS check is skipped)
2632412,1984-02-16,2025-04-02,2,Pass,TRS reports 'Prohibited from teaching' 
2908239,1978-08-12,2025-07-01,2,Fail,TRS reports 'Prohibited from teaching'
